legacy_path	current_location	classification
MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_1.md	archive/authority/MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_1.md	historical_authority
MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_2.md	archive/authority/MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_2.md	historical_authority
MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_3.md	archive/authority/MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_3.md	historical_authority
MSTA_HED_TECHNICAL_GUIDANCE_v0_6_0.md	theory/history/MSTA_HED_TECHNICAL_GUIDANCE_v0_6_0.md	historical_theory
MSTA_HED_THEORY_INTEGRATION_CHALLENGER_v0_6_0.md	theory/history/MSTA_HED_THEORY_INTEGRATION_CHALLENGER_v0_6_0.md	historical_theory
PIT_AUTHORITY_REPLAY_SD0_CLOSURE_SPEC_v1_0.md	archive/authority/PIT_AUTHORITY_REPLAY_SD0_CLOSURE_SPEC_v1_0.md	historical_authority
PIT_AUTHORITY_REPLAY_SUCCESSOR_SPEC_v1_0.md	archive/authority/PIT_AUTHORITY_REPLAY_SUCCESSOR_SPEC_v1_0.md	historical_authority
PROGRAM_GOVERNANCE.md	archive/authority/PROGRAM_GOVERNANCE_v1_5_2026-07-30.md	historical_governance
RESEARCH_SYSTEM_AUDIT_v1_0.md	archive/docs/reviews/RESEARCH_SYSTEM_AUDIT_v1_0.md	historical_review
RESEARCH_SYSTEM_CHANGELOG_v1_0.md	archive/docs/logs/RESEARCH_SYSTEM_CHANGELOG_v1_0.md	historical_log
RESEARCH_SYSTEM_DYNAMIC_HYPOTHESIS_GRAPH_CHALLENGER_v1_2.md	theory/history/RESEARCH_SYSTEM_DYNAMIC_HYPOTHESIS_GRAPH_CHALLENGER_v1_2.md	historical_theory
RESEARCH_SYSTEM_ROADMAP_v1_0.md	archive/docs/design/RESEARCH_SYSTEM_ROADMAP_v1_0.md	historical_design
RESEARCH_SYSTEM_THEORY_CHALLENGER_v1_0.md	theory/history/RESEARCH_SYSTEM_THEORY_CHALLENGER_v1_0.md	historical_theory
RESEARCH_TEAM_GOVERNANCE_v1_0.md	archive/authority/RESEARCH_TEAM_GOVERNANCE_v1_0.md	historical_governance
RSI_MTF_DRL_PM_AUTHORITY_BUNDLE_SPEC_v0_2_2.md	archive/authority/RSI_MTF_DRL_PM_AUTHORITY_BUNDLE_SPEC_v0_2_2.md	historical_authority
RSI_MTF_DRL_PM_DIRECT_AST_PROFILE_v0_2_2.md	archive/authority/RSI_MTF_DRL_PM_DIRECT_AST_PROFILE_v0_2_2.md	historical_authority
RSI_MTF_DRL_PM_THEORY_ADDENDUM_v0_2_1.md	archive/authority/RSI_MTF_DRL_PM_THEORY_ADDENDUM_v0_2_1.md	historical_authority
RSI_MTF_DRL_PM_THEORY_ADDENDUM_v0_2_2.md	archive/authority/RSI_MTF_DRL_PM_THEORY_ADDENDUM_v0_2_2.md	historical_authority
RSI_MTF_DRL_PM_THEORY_CHALLENGER_v0_3_0.md	theory/history/RSI_MTF_DRL_PM_THEORY_CHALLENGER_v0_3_0.md	historical_theory
RSI_MTF_FOUR_LAYER_THEORY_CHALLENGER_v0_4_0.md	theory/history/RSI_MTF_FOUR_LAYER_THEORY_CHALLENGER_v0_4_0.md	historical_theory
SYSTEM_ARCHITECTURE.md	archive/docs/design/SYSTEM_ARCHITECTURE_v1_0_2026-07-22.md	historical_design
SYSTEM_DESIGN_ROADMAP.md	archive/docs/design/SYSTEM_DESIGN_ROADMAP_v1_5_2026-07-30.md	historical_design
THEORY_AGENT_V2_ACTION_DISCRIMINATION_EXPERIMENT_v0_1.md	archive/experiments/THEORY_AGENT_V2_ACTION_DISCRIMINATION_EXPERIMENT_v0_1.md	historical_experiment
THEORY_AGENT_V2_ACTION_DISCRIMINATION_EXPERIMENT_v0_2.md	archive/experiments/THEORY_AGENT_V2_ACTION_DISCRIMINATION_EXPERIMENT_v0_2.md	historical_experiment
THEORY_AGENT_V2_ACTION_DISCRIMINATION_TRANSPORT_ADDENDUM_v0_1.md	archive/experiments/THEORY_AGENT_V2_ACTION_DISCRIMINATION_TRANSPORT_ADDENDUM_v0_1.md	historical_experiment
THEORY_AGENT_V2_IMPLEMENTATION_CONTRACT_v1_0.md	archive/authority/THEORY_AGENT_V2_IMPLEMENTATION_CONTRACT_v1_0.md	historical_authority
THEORY_AGENT_V2_THEORY_FORMALIZATION_AUDIT_v0_1.md	archive/docs/reviews/THEORY_AGENT_V2_THEORY_FORMALIZATION_AUDIT_v0_1.md	historical_review
THEORY_PAPER_AGENT_GUIDE.md	archive/experiments/THEORY_PAPER_AGENT_GUIDE.md	historical_experiment
THEORY_AND_EXPERIMENT_EVOLUTION_AUDIT_2026-08-05_副本.md	archive/user-preserved/THEORY_AND_EXPERIMENT_EVOLUTION_AUDIT_2026-08-05_副本.md	user_preserved
requirements/2026-07-30-theory-paper-practice.md	requirements/history/2026-07-30-theory-paper-practice.md	historical_requirements
BOUNDED_AGENT_AUTONOMY_CHALLENGER_v0_1.md	theory/legacy/SUMMARY_BEFORE_V3_1_1.md	deleted_summarized_git_recoverable
PATH_RISK_AND_STAGED_POSITION_GOVERNANCE_CHALLENGER_v0_1.md	theory/legacy/SUMMARY_BEFORE_V3_1_1.md	deleted_summarized_git_recoverable
STRATEGIC_EPISODE_POSITION_GOVERNANCE_CHALLENGER_v0_1.md	theory/legacy/SUMMARY_BEFORE_V3_1_1.md	deleted_summarized_git_recoverable
THEORY_AGENT_V2_THEORY_BASIS_v1_0.md	theory/legacy/SUMMARY_BEFORE_V3_1_1.md	deleted_summarized_git_recoverable
THEORY_AGENT_V2_THEORY_TECHNICAL_BRIEF_v0_1.md	theory/legacy/SUMMARY_BEFORE_V3_1_1.md	deleted_summarized_git_recoverable
DYNAMIC_OPEN_AGENT_CORE_CONFIRMATION_2026-08-06.md	archive/docs/design/DYNAMIC_OPEN_AGENT_CORE_CONFIRMATION_2026-08-06.md	historical_design
PROJECT_CORE_GOAL_RELOAD_2026-08-02.md	archive/docs/design/PROJECT_CORE_GOAL_RELOAD_2026-08-02.md	historical_design
SYSTEM_REVIEW_AND_V3_CORRECTION_DESIGN_2026-08-06.md	archive/docs/design/SYSTEM_REVIEW_AND_V3_CORRECTION_DESIGN_2026-08-06.md	historical_design
THEORY_AGENT_V2_AGENT_CLUSTER_DESIGN_v0_1.md	archive/docs/design/THEORY_AGENT_V2_AGENT_CLUSTER_DESIGN_v0_1.md	historical_design
THEORY_AGENT_V2_SYSTEM_ARCHITECTURE_v0_1.md	archive/docs/design/THEORY_AGENT_V2_SYSTEM_ARCHITECTURE_v0_1.md	historical_design
THEORY_PAPER_INFERENCE_SUCCESSOR_V2_DESIGN.md	archive/docs/design/THEORY_PAPER_INFERENCE_SUCCESSOR_V2_DESIGN.md	historical_design
THEORY_PAPER_MULTI_TIMESCALE_GOVERNANCE_SUCCESSOR_V2_DESIGN.md	archive/docs/design/THEORY_PAPER_MULTI_TIMESCALE_GOVERNANCE_SUCCESSOR_V2_DESIGN.md	historical_design
V3_1_SUCCESSOR_RUNTIME_DESIGN_2026-08-07.md	archive/docs/design/V3_1_SUCCESSOR_RUNTIME_DESIGN_2026-08-07.md	historical_design
V3_2_RUNTIME_REPAIR_AND_SIMPLIFICATION_PLAN_2026-08-10.md	archive/docs/design/V3_2_RUNTIME_REPAIR_AND_SIMPLIFICATION_PLAN_2026-08-10.md	historical_design
V3_2_SYSTEM_AND_EXPERIMENT_DESIGN_2026-08-07.md	archive/docs/design/V3_2_SYSTEM_AND_EXPERIMENT_DESIGN_2026-08-07.md	historical_design
MSTA_HED_ORIGINAL_DIRECTION_ALIGNMENT_AUDIT_2026-08-06.md	archive/docs/reviews/MSTA_HED_ORIGINAL_DIRECTION_ALIGNMENT_AUDIT_2026-08-06.md	historical_review
NEW_WINDOW_AGENT_RELIABILITY_AUDIT_AND_CORRECTION_2026-08-06.md	archive/docs/reviews/NEW_WINDOW_AGENT_RELIABILITY_AUDIT_AND_CORRECTION_2026-08-06.md	historical_review
THEORY_AGENT_V2_ACTION_DISCRIMINATION_INTERNAL_VALIDITY_AUDIT_v0_1.md	archive/docs/reviews/THEORY_AGENT_V2_ACTION_DISCRIMINATION_INTERNAL_VALIDITY_AUDIT_v0_1.md	historical_review
THEORY_AND_EXPERIMENT_EVOLUTION_AUDIT_2026-08-05.md	archive/docs/reviews/THEORY_AND_EXPERIMENT_EVOLUTION_AUDIT_2026-08-05.md	historical_review
THEORY_PAPER_MULTI_TIMESCALE_GOVERNANCE_AUDIT_v1.md	archive/docs/reviews/THEORY_PAPER_MULTI_TIMESCALE_GOVERNANCE_AUDIT_v1.md	historical_review
V3_1_THEORY_AND_SYSTEM_DESIGN_AUDIT_2026-08-06.md	archive/docs/reviews/V3_1_THEORY_AND_SYSTEM_DESIGN_AUDIT_2026-08-06.md	historical_review
V3_2_USER_RECOMMENDATION_ADJUDICATION_2026-08-07.md	archive/docs/reviews/V3_2_USER_RECOMMENDATION_ADJUDICATION_2026-08-07.md	historical_review
V3_1_1_CORRECTION_AND_EXPERIMENT_LOG_2026-08-07.md	archive/docs/logs/V3_1_1_CORRECTION_AND_EXPERIMENT_LOG_2026-08-07.md	historical_log
V3_2_IMPLEMENTATION_AND_PREEXPERIMENT_LOG_2026-08-07.md	archive/docs/logs/V3_2_IMPLEMENTATION_AND_PREEXPERIMENT_LOG_2026-08-07.md	historical_log
WORKSPACE_CHECKPOINT_2026-07-31.md	archive/docs/logs/WORKSPACE_CHECKPOINT_2026-07-31.md	historical_log
NATIVE_CODEX_CYCLE_EXPERIMENT_DESIGN_2026-08-06.md	archive/experiments/NATIVE_CODEX_CYCLE_EXPERIMENT_DESIGN_2026-08-06.md	historical_experiment
NEXT_WINDOW_RESEARCH_AGENT_PROMPT.md	archive/experiments/NEXT_WINDOW_RESEARCH_AGENT_PROMPT.md	historical_experiment
V3_1_EXPERIMENT_READINESS_AND_HANDOFF_2026-08-06.md	archive/experiments/V3_1_EXPERIMENT_READINESS_AND_HANDOFF_2026-08-06.md	historical_experiment
V3_1_REDESIGN_BASELINE_FREEZE_2026-08-06.md	archive/experiments/V3_1_REDESIGN_BASELINE_FREEZE_2026-08-06.md	historical_experiment
COLD_STORAGE_LIMITS.md	archive/authority/COLD_STORAGE_LIMITS.md	historical_authority
config/theory_paper_reporting_addendum.v1.md	archive/config-history/theory_paper_reporting_addendum.v1.md	historical_config
config/theory_paper_reporting_addendum.v2.md	archive/config-history/theory_paper_reporting_addendum.v2.md	historical_config
artifacts/rsi_mtf_drl_pm_contract_ast_v0_2_1_build_report.md	archive/reports/rsi_mtf_drl_pm_contract_ast_v0_2_1_build_report.md	historical_report
artifacts/rsi_mtf_drl_pm_theory_challenger_v0_3_0_validation_report.md	archive/reports/rsi_mtf_drl_pm_theory_challenger_v0_3_0_validation_report.md	historical_report
artifacts/rsi_mtf_drl_pm_v0_2_2_stale_test_repair_report.md	archive/reports/rsi_mtf_drl_pm_v0_2_2_stale_test_repair_report.md	historical_report
requirements/2026-07-31-workspace-cleanup-commit.md	requirements/history/2026-07-31-workspace-cleanup-commit.md	historical_requirements
